column,dtype_inferred,missing_count,missing_ratio,is_numeric_like,min,median_approx,max
user_id,int64,0,0.0,True,0.0,14.0,27284.0
video_id,int64,0,0.0,True,0.0,2179844.0,32038724.0
date,int64,0,0.0,True,20220408.0,20220414.0,20220421.0
hourmin,int64,0,0.0,True,100.0,1800.0,2300.0
time_ms,int64,0,0.0,True,1649351999602.0,1649923021354.0,1650556330096.0
is_click,int64,0,0.0,True,0.0,0.0,1.0
is_like,int64,0,0.0,True,0.0,0.0,1.0
is_follow,int64,0,0.0,True,0.0,0.0,1.0
is_comment,int64,0,0.0,True,0.0,0.0,1.0
is_forward,int64,0,0.0,True,0.0,0.0,1.0
is_hate,int64,0,0.0,True,0.0,0.0,1.0
long_view,int64,0,0.0,True,0.0,0.0,1.0
play_time_ms,int64,0,0.0,True,0.0,2885.5,2483304.0
duration_ms,int64,0,0.0,True,0.0,25866.0,32424500.0
profile_stay_time,int64,0,0.0,True,0.0,0.0,300000.0
comment_stay_time,int64,0,0.0,True,0.0,0.0,533412.0
is_profile_enter,int64,0,0.0,True,0.0,0.0,1.0
is_rand,int64,0,0.0,True,0.0,0.0,0.0
tab,int64,0,0.0,True,0.0,1.0,14.0
