date,exposures,clicks,ctr
20220408,9864349,3693236.0,0.3744024060786981
20220409,10870341,4174710.0,0.3840459098753204
20220410,10749052,4062958.0,0.3779829142142023
20220411,9527164,3496025.0,0.36695337668166517
20220412,9346113,3454874.0,0.3696589159578961
20220413,9189352,3400132.0,0.3700078090381128
20220414,9187522,3443665.0,0.3748197827444658
20220415,9460878,3711526.0,0.39230249031855186
20220416,10703081,4298626.0,0.4016251021551645
20220417,10590283,4188660.0,0.39551917545546234
20220418,9045197,3427153.0,0.37889202413170214
20220419,8994629,3459980.0,0.3846717857957232
20220420,9304296,3511866.0,0.37744564446358975
20220421,9464319,3574336.0,0.3776643623276012
20220422,10076696,3846100.0,0.38168264677231506
20220423,11621565,4517923.0,0.38875340799625524
20220424,10137480,3769355.0,0.3718236682094564
20220425,9775971,3685742.0,0.3770205537639177
20220426,9756170,3693099.0,0.37853983684171144
20220427,9838184,3723689.0,0.378493530919934
20220428,9943504,3709152.0,0.37302262864278024
20220429,10843757,4078090.0,0.3760772212066353
20220430,12573232,4879213.0,0.3880635464294304
20220501,12514718,4726760.0,0.3776960855210641
20220502,12096604,4535899.0,0.37497292628575757
20220503,11999564,4507394.0,0.37562981454992866
20220504,11603464,4363785.0,0.3760760579771696
20220505,10431720,3825117.0,0.3666813334713738
20220506,10540891,3877259.0,0.36783029062723444
20220507,10713828,4043744.0,0.37743223057155667
20220508,11514461,4372474.0,0.37973761863451533
