column,dtype_inferred,missing_count,missing_ratio,is_numeric_like,min,median_approx,max
user_id,int64,0,0.0,True,0.0,14.0,27284.0
video_id,int64,0,0.0,True,0.0,2184220.5,32038724.0
date,int64,0,0.0,True,20220408.0,20220415.0,20220421.0
hourmin,int64,0,0.0,True,0.0,1100.0,2300.0
time_ms,int64,0,0.0,True,1649339966592.0,1649977644457.0,1650556302413.0
is_click,int64,0,0.0,True,0.0,0.0,1.0
is_like,int64,0,0.0,True,0.0,0.0,1.0
is_follow,int64,0,0.0,True,0.0,0.0,1.0
is_comment,int64,0,0.0,True,0.0,0.0,1.0
is_forward,int64,0,0.0,True,0.0,0.0,1.0
is_hate,int64,0,0.0,True,0.0,0.0,1.0
long_view,int64,0,0.0,True,0.0,0.0,1.0
play_time_ms,int64,0,0.0,True,0.0,2890.0,2144886.0
duration_ms,int64,0,0.0,True,0.0,27233.0,32424500.0
profile_stay_time,int64,0,0.0,True,0.0,0.0,300000.0
comment_stay_time,int64,0,0.0,True,0.0,0.0,384014.0
is_profile_enter,int64,0,0.0,True,0.0,0.0,1.0
is_rand,int64,0,0.0,True,0.0,0.0,0.0
tab,int64,0,0.0,True,0.0,1.0,14.0
