exposures,clicks,ctr
10015,4505.0,0.44982526210683976
18945,6116.0,0.3228292425442069
19742,5891.0,0.29839935163610576
1176,571.0,0.48554421768707484
3784,1408.0,0.37209302325581395
13058,3846.0,0.2945320876091285
10241,3000.0,0.2929401425642027
16799,3206.0,0.1908446931364962
7799,3339.0,0.42813181177073983
1812,869.0,0.4795805739514349
4265,2117.0,0.49636576787807735
5787,4441.0,0.7674097114221531
1592,768.0,0.4824120603015075
7980,3238.0,0.40576441102756894
3106,2145.0,0.6905988409529942
9196,6801.0,0.7395606785558939
1999,1430.0,0.7153576788394197
23414,5127.0,0.21897155547962757
3304,2032.0,0.6150121065375302
6058,2986.0,0.49290194783757013
10467,2292.0,0.21897391802808827
13894,6889.0,0.49582553620267744
9694,4536.0,0.4679182999793687
5715,2532.0,0.4430446194225722
10637,2946.0,0.27695778885023975
18656,2885.0,0.15464193825042882
14746,7583.0,0.5142411501424115
21857,9706.0,0.4440682618840646
6756,3909.0,0.5785968028419183
1767,1632.0,0.9235993208828522
18552,7496.0,0.4040534713238465
11760,9127.0,0.7761054421768707
3892,2123.0,0.5454779033915724
1279,1027.0,0.8029710711493354
16249,5378.0,0.33097421379777214
2449,1695.0,0.6921192323397305
12314,3616.0,0.2936495046288777
493,299.0,0.6064908722109533
6454,3825.0,0.5926557173845677
15082,3680.0,0.2439994695663705
5207,3727.0,0.7157672364125216
4527,3301.0,0.7291804727192401
17671,8596.0,0.48644672061569805
21712,6013.0,0.27694362564480474
9439,3715.0,0.39357982837164956
11173,5429.0,0.4859035174080372
27290,4501.0,0.1649322096005863
9851,2843.0,0.28860014211755153
10850,4334.0,0.3994470046082949
12479,3063.0,0.24545235996474077
10650,6842.0,0.6424413145539906
3767,1250.0,0.33182904167772764
13964,5823.0,0.41700085935262104
16561,10254.0,0.6191655093291468
24040,13710.0,0.5702995008319468
2902,1689.0,0.5820124052377671
50504,7982.0,0.1580468873752574
10950,8463.0,0.7728767123287671
28199,9347.0,0.33146565481045426
21394,15578.0,0.7281480789006264
9129,3220.0,0.3527220944243619
2967,1090.0,0.36737445230872934
102090,10008.0,0.09803114898618866
3664,1497.0,0.4085698689956332
43573,5885.0,0.13506070272875403
5926,2445.0,0.41258859264259196
10387,6271.0,0.6037354385289304
4390,1300.0,0.296127562642369
17034,7297.0,0.42837853704355994
8429,4619.0,0.5479890853007474
7091,2862.0,0.40361021012551124
198,163.0,0.8232323232323232
16514,7518.0,0.45525009083202134
26824,6762.0,0.2520876826722338
21573,8872.0,0.4112548092523061
13333,5040.0,0.37800945023625593
41383,6688.0,0.16161225624048522
7242,5339.0,0.7372272852803093
8251,3428.0,0.41546479214640647
10725,3970.0,0.3701631701631702
10685,1312.0,0.12278895648104819
5991,3914.0,0.6533133032882658
15318,8113.0,0.5296383339861601
7643,2725.0,0.35653539186183436
3094,2212.0,0.7149321266968326
4115,1807.0,0.4391251518833536
6050,4977.0,0.8226446280991736
6469,2972.0,0.45942185809244085
6390,5198.0,0.8134585289514867
13078,4106.0,0.3139623795687414
1476,864.0,0.5853658536585366
5274,1679.0,0.31835419036784224
9396,5567.0,0.5924861643252448
8681,6061.0,0.698191452597627
11736,5312.0,0.45262440354464895
1594,1173.0,0.7358845671267252
15084,5543.0,0.36747547069742775
26444,6074.0,0.22969293601573135
16397,4438.0,0.2706592669390742
9570,1658.0,0.17324973876698013
13634,4384.0,0.3215490685052076
14093,8379.0,0.5945504860569076
1037,556.0,0.5361620057859209
4422,3362.0,0.7602894617819991
766,492.0,0.6422976501305483
13892,6427.0,0.4626403685574431
21695,7048.0,0.3248674809864024
8670,2359.0,0.2720876585928489
5108,4379.0,0.8572826938136257
17824,2716.0,0.15237881508078996
46512,19280.0,0.41451668386652907
16706,3112.0,0.18628037830719502
17747,3010.0,0.16960613061362484
21033,8918.0,0.42400038035468074
31847,4039.0,0.1268251326655572
12078,3610.0,0.29889054479218413
20655,6895.0,0.3338174776083273
7452,5946.0,0.7979066022544283
7636,1788.0,0.23415400733368255
7238,516.0,0.07129041171594364
10670,7368.0,0.6905342080599812
31562,12964.0,0.4107471009441734
21637,3551.0,0.1641170217682673
1529,840.0,0.5493786788750817
7969,5814.0,0.729577111306312
18430,7753.0,0.4206728160607705
6244,4095.0,0.655829596412556
19534,9269.0,0.4745059895566704
21144,5698.0,0.26948543321982593
7364,4527.0,0.6147474198804997
5420,1535.0,0.283210332103321
8897,5822.0,0.6543778801843319
1352,505.0,0.3735207100591716
18853,13034.0,0.6913488569458441
42493,8958.0,0.21081119243169463
1345,1066.0,0.7925650557620818
38355,10030.0,0.2615043670968583
5387,1119.0,0.20772229441247447
4779,3536.0,0.739903745553463
11420,6950.0,0.6085814360770578
15152,3538.0,0.23350052798310453
15290,5496.0,0.35945062132112493
13422,6013.0,0.44799582774549246
27806,6535.0,0.23502121844206286
9651,7207.0,0.7467619935757952
5479,1554.0,0.2836283993429458
26237,12036.0,0.4587414719670694
3508,1921.0,0.5476054732041049
5959,3267.0,0.5482463500587347
15413,7655.0,0.49665866476351134
1786,1078.0,0.6035834266517357
6014,1971.0,0.327735284336548
9348,4513.0,0.4827770646127514
5419,3423.0,0.6316663591068463
21750,7973.0,0.36657471264367814
24130,6440.0,0.26688769167012016
15305,6234.0,0.40731786997713165
5867,1374.0,0.2341912391341401
9076,4603.0,0.50716174526223
28133,10430.0,0.3707389897984573
10567,6342.0,0.6001703416296016
2454,1661.0,0.6768541157294213
14981,5965.0,0.3981710166210533
12187,4807.0,0.3944366948387626
2149,1050.0,0.48859934853420195
17605,9496.0,0.5393922181198523
8763,4485.0,0.5118110236220472
25411,7899.0,0.3108496320491126
26155,3029.0,0.11580959663544256
6159,3520.0,0.5715213508686475
1205,403.0,0.33443983402489624
13132,4442.0,0.33825769113615595
15571,6234.0,0.4003596429259521
25474,10764.0,0.42254848080395696
2454,1911.0,0.7787286063569682
2994,2384.0,0.7962591850367402
2182,608.0,0.27864344637946836
231,188.0,0.8138528138528138
9445,5985.0,0.6336686077289572
10005,3160.0,0.31584207896051975
9497,5771.0,0.6076655786037696
12029,6293.0,0.5231523817441184
4876,3927.0,0.8053732567678425
1502,1007.0,0.670439414114514
12932,4189.0,0.3239251469223631
9896,4770.0,0.48201293451899757
3489,1033.0,0.29607337345944396
15040,4750.0,0.3158244680851064
15252,4576.0,0.3000262260687123
11803,5789.0,0.49046852495128357
182904,11155.0,0.06098827800376153
27407,7446.0,0.27168241690079176
7437,2204.0,0.2963560575500874
5224,2935.0,0.5618300153139357
16052,7440.0,0.4634936456516322
7521,4882.0,0.6491158090679431
14140,9909.0,0.7007779349363508
17232,7121.0,0.41324280408542247
18713,3814.0,0.20381552931117405
9051,3529.0,0.38990166832394213
3431,1657.0,0.4829495773826873
10442,3949.0,0.3781842558896763
10684,4074.0,0.3813178584799701
3141,2010.0,0.6399235912129895
28758,8073.0,0.28072188608387233
1074,705.0,0.6564245810055865
6746,4479.0,0.6639490068188556
2098,1357.0,0.6468064823641564
12182,5385.0,0.4420456411098342
19227,2749.0,0.1429760233005669
6126,4582.0,0.7479595168135814
15396,6320.0,0.41049623278773706
1997,713.0,0.357035553329995
5241,2953.0,0.5634420912039687
8381,3257.0,0.38861711013005606
17644,7246.0,0.41067785082747676
10109,4807.0,0.47551686615886835
5641,3767.0,0.6677893990427229
1782,1067.0,0.5987654320987654
2047,925.0,0.4518808011724475
17185,5648.0,0.3286587139947629
3943,3079.0,0.780877504438245
13734,5337.0,0.3885976408912189
26991,9197.0,0.3407432106998629
7567,3238.0,0.42791066472842604
16097,7951.0,0.4939429707398894
5318,3464.0,0.6513726965024446
8892,5520.0,0.6207827260458839
17015,6318.0,0.37131942403761387
26201,5374.0,0.20510667531773596
18853,1674.0,0.08879223465761417
8862,3221.0,0.3634619724667118
2769,1102.0,0.39797760924521486
2187,941.0,0.4302697759487883
4296,2720.0,0.633147113594041
6791,1605.0,0.23634221764099544
13054,9877.0,0.7566263214340432
20511,2784.0,0.13573204621910195
5151,3929.0,0.7627645117452921
7954,2188.0,0.27508171988936386
4032,2801.0,0.6946924603174603
8396,5029.0,0.5989757027155789
25236,4699.0,0.1862022507528927
22685,11022.0,0.48587172140180734
3961,1442.0,0.36404948245392577
13048,7659.0,0.5869865113427345
13500,3429.0,0.254
8589,4597.0,0.535219466759809
4723,3227.0,0.6832521702307855
9759,4469.0,0.45793626396147147
14264,8754.0,0.6137128435221537
1037,784.0,0.7560270009643202
37228,6189.0,0.16624583646717525
26470,5256.0,0.19856441254250096
9730,5817.0,0.597841726618705
2976,1119.0,0.37600806451612906
8286,5296.0,0.6391503741250302
13507,7192.0,0.5324646479603169
10264,3646.0,0.35522213561964144
8274,2118.0,0.25598259608411894
3556,1682.0,0.4730033745781777
7918,1994.0,0.2518312705228593
5510,3675.0,0.6669691470054446
6413,2670.0,0.41634180570715734
30865,17971.0,0.5822452616231978
7786,4706.0,0.6044181864885693
22056,4677.0,0.2120511425462459
