user_id,time_ms,date,hourmin,video_id,is_click,tab,seq_index
0,1649467982289,20220409,900,4354972,0,0,1
0,1649467982289,20220409,900,1329429,0,0,2
0,1649467982289,20220409,900,346081,0,0,3
0,1649467982289,20220409,900,2058916,0,0,4
0,1649467982289,20220409,900,2528540,1,0,5
0,1649467982289,20220409,900,1966868,0,0,6
0,1649467982289,20220409,900,2378158,0,0,7
0,1649467982289,20220409,900,3872621,0,0,8
0,1649467982289,20220409,900,2291992,0,0,9
0,1649467982289,20220409,900,1252602,0,0,10
0,1649467982289,20220409,900,1724077,0,0,11
0,1649475132652,20220409,1100,3173641,0,1,12
0,1649475132652,20220409,1100,889528,0,1,13
0,1649475132652,20220409,1100,2650549,0,1,14
0,1649477382190,20220409,1200,2497952,0,1,15
0,1649477382190,20220409,1200,2675156,0,1,16
0,1649477382190,20220409,1200,961686,0,1,17
0,1649477382190,20220409,1200,4064737,0,1,18
0,1649477382190,20220409,1200,1262357,0,1,19
0,1649477382190,20220409,1200,3553073,0,1,20
5117,1649368674373,20220408,600,2869806,0,0,1
5117,1649368674373,20220408,600,14097621,0,0,2
5117,1649368674373,20220408,600,15792207,0,0,3
5117,1649368674373,20220408,600,1832956,0,0,4
5117,1649368674373,20220408,600,20351923,0,0,5
5117,1649368674373,20220408,600,30011006,0,0,6
5117,1649368674373,20220408,600,4946310,0,0,7
5117,1649368674373,20220408,600,21021122,0,0,8
5117,1649368674373,20220408,600,14380423,0,0,9
5117,1649368674373,20220408,600,2650032,0,0,10
5117,1649368674373,20220408,600,11014057,0,0,11
5117,1649368674373,20220408,600,29206527,0,0,12
5117,1649368694256,20220408,600,25429455,0,0,13
5117,1649394924717,20220408,1300,31950300,0,0,14
5117,1649394924717,20220408,1300,9064681,0,0,15
5117,1649394924717,20220408,1300,3896924,0,0,16
5117,1649394924717,20220408,1300,15314129,0,0,17
5117,1649394924717,20220408,1300,2721440,1,0,18
5117,1649394924717,20220408,1300,8677920,0,0,19
5117,1649415736456,20220408,1900,30957448,0,0,20
5208,1649346271429,20220408,0,19116647,1,2,1
5208,1649346271429,20220408,0,1994063,1,2,2
5208,1649346271429,20220408,0,2437518,0,2,3
5208,1649346271429,20220408,0,3590209,1,2,4
5208,1649346271429,20220408,0,599249,1,2,5
5208,1649346271429,20220408,0,1246479,1,2,6
5208,1649347104124,20220408,0,1424926,1,2,7
5208,1649347104124,20220408,0,2988801,1,2,8
5208,1649347104124,20220408,0,1043441,1,2,9
5208,1649347104124,20220408,0,1063881,1,2,10
5208,1649347104124,20220408,0,3364166,1,2,11
5208,1649347104124,20220408,0,2072245,0,2,12
5208,1649347602915,20220408,0,434516,1,2,13
5208,1649347602915,20220408,0,4179859,1,2,14
5208,1649347602915,20220408,0,1913231,1,2,15
5208,1649347602915,20220408,0,3247805,1,2,16
5208,1649347602915,20220408,0,1898960,0,2,17
5208,1649347602915,20220408,0,2396417,0,2,18
5208,1649348023448,20220408,0,792245,1,2,19
5208,1649348023448,20220408,0,4279670,1,2,20
10416,1649351320075,20220408,100,2890623,0,1,1
10416,1649351320075,20220408,100,634862,0,1,2
10416,1649352695071,20220408,100,903640,1,1,3
10416,1649352695071,20220408,100,2058563,0,1,4
10416,1649352695071,20220408,100,604632,0,1,5
10416,1649352695071,20220408,100,1943142,1,1,6
10416,1649352695071,20220408,100,2241336,1,1,7
10416,1649352695071,20220408,100,15429073,0,1,8
10416,1649352695071,20220408,100,3968463,1,1,9
10416,1649352857440,20220408,100,1240158,1,1,10
10416,1649352857440,20220408,100,4162599,1,1,11
10416,1649352857440,20220408,100,9083678,0,6,12
10416,1649352857440,20220408,100,3094969,1,1,13
10416,1649352857440,20220408,100,3269219,1,1,14
10416,1649352857440,20220408,100,4363657,0,1,15
10416,1649352857440,20220408,100,9083678,0,6,16
10416,1649352857440,20220408,100,49127,1,1,17
10416,1649352857440,20220408,100,19630681,0,1,18
10416,1649353044144,20220408,100,31638248,1,1,19
10416,1649353044144,20220408,100,3756779,0,1,20
11421,1649396802144,20220408,1400,3782479,0,1,1
11421,1649480632249,20220409,1300,2388438,0,0,2
11421,1649480632249,20220409,1300,3715282,1,0,3
11421,1649480632249,20220409,1300,3032825,0,0,4
11421,1649480632249,20220409,1300,473949,0,0,5
11421,1649480632249,20220409,1300,3243372,0,0,6
11421,1649480637033,20220409,1300,1802051,1,4,7
11421,1649480871350,20220409,1300,2533218,0,1,8
11421,1649593843169,20220410,2000,11523825,1,1,9
11421,1649593843169,20220410,2000,373112,0,1,10
11421,1649593843169,20220410,2000,3222193,0,1,11
11421,1649594045556,20220410,2000,3439499,0,0,12
11421,1649594045556,20220410,2000,167384,0,0,13
11421,1649594045556,20220410,2000,4234557,0,0,14
11421,1649594045556,20220410,2000,3492513,0,0,15
11421,1649594045556,20220410,2000,2902851,0,0,16
11421,1649594227865,20220410,2000,8558673,0,0,17
11421,1649594227865,20220410,2000,861009,0,0,18
11421,1649594227865,20220410,2000,5752382,0,0,19
11421,1649594227865,20220410,2000,511074,0,0,20
